Sonolab Version Required,Instrument,Vessel,Volume (ul),Rack,Plate/Rack Definition/Insert,Waveguide/Intensifier,Temp ©,Analytical System,Base Pair Mode (bp),Repeat/Iterations (#),Repeat Process Treatment Duration (s),Peak Power (W),Duty Factor (%),Cycles per Burst (#),Total Treatment Time per sample (s),Energy (J),Z Height,Water Level,Dither,Column1
0,ME220,520045,130,500514,520045.2,500526,20,Agilent Bioanalyzer DNA 1200 Kit cat# 5067-1509,150,NA,NA,75,25,1000,225,4218.75,NA,NA,NA,
0,ME220,520045,130,500514,520045.2,500526,20,Agilent Bioanalyzer DNA 1200 Kit cat# 5067-1509,200,NA,NA,70,20,1000,130,1820,NA,NA,NA,
0,ME220,520045,130,500514,520045.2,500526,20,NA,200,NA,NA,70,20,1000,130,1820,NA,NA,NA,
0,ME220,520045,130,500514,520045.2,500526,20,Agilent Bioanalyzer DNA 1200 Kit cat# 5067-1509,350,NA,NA,70,20,1000,42,588,NA,NA,NA,
0,ME220,520045,130,500514,520045.2,500526,20,Agilent Bioanalyzer DNA 1200 Kit cat# 5067-1509,550,NA,NA,40,10,1000,65,260,NA,NA,NA,
0,ME220,520052,130,500514,520052.2,500526,20,Agilent Bioanalyzer DNA 1200 Kit cat# 5067-1509,150,NA,NA,75,25,1000,240,4500,NA,NA,NA,
0,ME220,520052,130,500514,520052.2,500526,20,NA,150,NA,NA,75,25,1000,240,4500,NA,NA,NA,
0,ME220,520052,130,500514,520052.2,500526,20,Agilent Bioanalyzer DNA 1200 Kit cat# 5067-1509,200,NA,NA,70,20,1000,140,1960,NA,NA,NA,
0,ME220,520052,130,500514,520052.2,500526,20,NA,200,NA,NA,70,20,1000,140,1960,NA,NA,NA,
0,ME220,520052,130,500514,520052.2,500526,20,Agilent Bioanalyzer DNA 1200 Kit cat# 5067-1509,350,NA,NA,70,20,1000,45,630,NA,NA,NA,
0,ME220,520052,130,500514,520052.2,500526,20,Agilent Bioanalyzer DNA 1200 Kit cat# 5067-1509,550,NA,NA,40,10,1000,65,260,NA,NA,NA,
0,ME220,520053,130,500514,520053.2,500526,20,Agilent Bioanalyzer DNA 1200 Kit cat# 5067-1509,150,NA,NA,75,25,1000,225,4218.75,NA,NA,NA,
0,ME220,520053,130,500514,520053.2,500526,20,NA,150,NA,NA,75,25,1000,225,4218.75,NA,NA,NA,
0,ME220,520053,130,500514,520053.2,500526,20,Agilent Bioanalyzer DNA 1200 Kit cat# 5067-1509,200,NA,NA,70,20,1000,130,1820,NA,NA,NA,
0,ME220,520053,130,500514,520053.2,500526,20,NA,200,NA,NA,70,20,1000,130,1820,NA,NA,NA,
